id,trader,estimator,features_used,target_used,normalizer,optimizer,learning_rate,criterion,eps_scheduler,epsilon,epsilon_final,epsilon_decay,action_space,window_size,batch_size,n_episodes,replay_size,sync_steps,prob_alpha,beta_start,train_profit,valid_profit,train_reward,valid_reward,observation
72,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,4311.074000000001,740.8530000000003,4.921,3.383,Use all features from features_used field
73,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,3938.3979999999997,576.206,4.493,2.9810000000000003,Use all features from features_used field
74,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,15,32,1000,1000,1000,0.6,0.4,2351.779,768.688,2.672,3.696,Use all features from features_used field
75,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,3490.137,668.049,3.975,3.322,Use all features from features_used field
76,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,4645.295,468.06,5.289,2.399,Use all features from features_used field
77,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.99,3,15,32,1000,1000,1000,0.6,0.4,4.206,731.645,0.043,3.455,Use all features from features_used field
78,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.995,3,5,32,1000,1000,1000,0.6,0.4,535.187,488.32,0.613,2.614,Use all features from features_used field
79,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,5669.774,544.836,6.466,2.8539999999999996,Use all features from features_used field
80,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.995,3,15,32,1000,1000,1000,0.6,0.4,1801.1529999999998,608.509,2.052,2.415,Use all features from features_used field
81,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,3398.7909999999997,93.044,4.488,1.115,Use all features from features_used field
82,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,365.175,212.92,0.453,1.37,Use all features from features_used field
83,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,15,32,1000,1000,1000,0.6,0.4,2598.74,514.553,2.9530000000000003,2.8819999999999997,Use all features from features_used field
84,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,302.638,26.935,0.768,0.454,Use all features from features_used field
85,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,1521.036,602.757,1.933,3.1489999999999996,Use all features from features_used field
86,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,15,32,1000,1000,1000,0.6,0.4,4425.4209999999985,162.532,5.607,1.374,Use all features from features_used field
87,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,5,32,1000,1000,1000,0.6,0.4,310.1790000000001,26.935,0.828,0.45399999999999996,Use all features from features_used field
88,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,-13.304,66.313,0.075,0.5670000000000001,Use all features from features_used field
89,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,15,32,1000,1000,1000,0.6,0.4,154.048,157.85299999999995,0.275,0.948,Use all features from features_used field
